ArrayLength,NumThreads,MaxReductionTime,MaxNoReductionTime,MinReductionTime,MinNoReductionTime
1000000,1,0.00275857,0.00292689,0.00285557,0.00268892
1000000,2,0.00145542,0.00143976,0.00132414,0.00139378
1000000,3,0.0014915,0.00133219,0.00140859,0.00150444
1000000,4,0.00113881,0.00113117,0.0011567,0.00124936
1000000,5,0.00091708,0.00105792,0.00097233,0.00096913
1000000,6,0.00077033,0.00081137,0.00074362,0.00086105
1000000,7,0.00082521,0.00088662,0.00091188,0.00085549
1000000,8,0.00091506,0.00093768,0.00088141,0.00092462
1000000,9,0.00081137,0.00090727,0.00082313,0.00087649
1000000,10,0.00074977,0.00087634,0.00078403,0.00086185
1000000,11,0.0007536,0.00092106,0.00075766,0.00086565
1000000,12,0.00068282,0.00080364,0.00073482,0.00084939
1000000,13,0.00074764,0.00086866,0.00072966,0.00083918
1000000,14,0.00068496,0.00078713,0.00065178,0.0008058
1000000,15,0.00061747,0.00073487,0.00057981,0.00072426
1000000,16,0.00079811,0.00092629,0.00083207,0.00095743
1000000,17,0.00087507,0.00108461,0.00087264,0.00111413
1000000,18,0.00082631,0.00096972,0.00079551,0.00093179
1000000,24,0.00076432,0.00086189,0.00070169,0.00088687
1000000,30,0.00077704,0.00111888,0.00079553,0.00123401
1000000,36,0.00072677,0.00105969,0.00072486,0.0010392
1000000,48,0.00072719,0.00112118,0.00072244,0.00118181
1000000,60,0.0007933,0.00135407,0.00071103,0.00122442
1000000,90,0.0007623,0.0014427,0.00078934,0.00140723
1000000,120,0.00105436,0.00198579,0.00093553,0.00192763
1000000,144,0.00109973,0.00214906,0.00091953,0.00210168
10000000,1,0.0247143,0.0248449,0.024399,0.0237842
10000000,2,0.014588,0.0141057,0.0144325,0.0141074
10000000,3,0.0119898,0.0121343,0.0115484,0.0117659
10000000,4,0.00854867,0.00886436,0.00890874,0.00873954
10000000,5,0.0083814,0.00806993,0.00869101,0.00783313
10000000,6,0.00705818,0.0076698,0.00774164,0.00777792
10000000,7,0.00623933,0.00618848,0.00630142,0.00664609
10000000,8,0.00717422,0.00702149,0.00688935,0.00683039
10000000,9,0.00784253,0.00762065,0.00722886,0.00749089
10000000,10,0.00661589,0.0067584,0.00650063,0.00667511
10000000,11,0.00635536,0.00639387,0.0062924,0.00678691
10000000,12,0.00785995,0.00842557,0.00846206,0.00772898
10000000,13,0.00730822,0.00777227,0.0074698,0.00772763
10000000,14,0.00737634,0.00783463,0.00769595,0.00782814
10000000,15,0.00683401,0.00703791,0.00658278,0.00683206
10000000,16,0.00687299,0.00671422,0.00683184,0.0068285
10000000,17,0.00862519,0.0110796,0.0100916,0.00748589
10000000,18,0.00952209,0.00880849,0.00977494,0.00786495
10000000,24,0.00914512,0.00825759,0.00831735,0.00844827
10000000,30,0.00654014,0.00674331,0.00629197,0.00667727
10000000,36,0.00639769,0.00667953,0.00644574,0.00682466
10000000,48,0.00665704,0.00654539,0.00624997,0.00655694
10000000,60,0.00802497,0.00973095,0.00877456,0.00834833
10000000,90,0.00574487,0.00702553,0.00623028,0.0069882
10000000,120,0.00830704,0.0119232,0.00789249,0.00980705
10000000,144,0.00635624,0.00774151,0.0063965,0.00815584
100000000,1,0.25796,0.300924,0.305176,0.269093
100000000,2,0.13442,0.143565,0.138466,0.142677
100000000,3,0.100799,0.101512,0.101498,0.10108
100000000,4,0.086609,0.0805465,0.0844406,0.0873363
100000000,5,0.0802843,0.0911311,0.0828229,0.0863235
100000000,6,0.0819247,0.0805248,0.0799269,0.0726755
100000000,7,0.0643005,0.0640445,0.0633907,0.0653302
100000000,8,0.0593344,0.0602456,0.0603197,0.0597308
100000000,9,0.059285,0.0599537,0.0560649,0.0611968
100000000,10,0.0591548,0.0606463,0.0614293,0.0571599
100000000,11,0.0585135,0.0595568,0.0594759,0.0619961
100000000,12,0.0574033,0.0549283,0.0600385,0.0556058
100000000,13,0.059087,0.0520175,0.0526364,0.0529786
100000000,14,0.0544072,0.05333,0.0556371,0.0545389
100000000,15,0.0486771,0.0547743,0.0548123,0.052769
100000000,16,0.0543486,0.0544081,0.0499904,0.0574395
100000000,17,0.0532767,0.0535239,0.0571014,0.0516187
100000000,18,0.0519985,0.0502654,0.050437,0.0505732
100000000,24,0.0509025,0.0520278,0.0552769,0.0507336
100000000,30,0.0493632,0.0537804,0.0530482,0.0496863
100000000,36,0.0521763,0.052801,0.0475835,0.0480964
