VectorLength,NumThreads,ScalarProductTime
10000,1,0.0001085
10000,2,0.0020674
10000,3,0.0016067
10000,4,0.0005139
10000,5,0.0003325
10000,6,0.0003977
10000,7,0.0004548
10000,8,0.000457
10000,9,0.0004005
10000,10,0.0003015
10000,11,0.000306
10000,12,0.0003451
10000,13,0.0002244
10000,14,0.0002432
10000,15,0.0002091
10000,16,0.0002166
10000,17,0.0002093
10000,18,0.0002254
10000,24,0.0004102
10000,30,0.0004166
10000,36,0.000441
10000,48,0.0007232
10000,60,0.000839
10000,90,0.0015663
10000,120,0.0016049
10000,144,0.0014802
100000,1,0.0007298
100000,2,0.0026659
100000,3,0.0015916
100000,4,0.0007999
100000,5,0.0007967
100000,6,0.0008025
100000,7,0.0010796
100000,8,0.0007999
100000,9,0.0007107
100000,10,0.0006182
100000,11,0.0006507
100000,12,0.0006936
100000,13,0.0005802
100000,14,0.0007645
100000,15,0.0006242
100000,16,0.0005853
100000,17,0.0006677
100000,18,0.0005485
100000,24,0.0012952
100000,30,0.001313
100000,36,0.0009647
100000,48,0.0015973
100000,60,0.0012088
100000,90,0.0020901
100000,120,0.0019676
100000,144,0.0020315
1000000,1,0.0054179
1000000,2,0.0055597
1000000,3,0.003314
1000000,4,0.0029963
1000000,5,0.0027438
1000000,6,0.0026361
1000000,7,0.0030049
1000000,8,0.0028342
1000000,9,0.0028275
1000000,10,0.0027124
1000000,11,0.0025846
1000000,12,0.0025664
1000000,13,0.0028181
1000000,14,0.002848
1000000,15,0.0027456
1000000,16,0.0028019
1000000,17,0.0027178
1000000,18,0.0026801
1000000,24,0.0031608
1000000,30,0.0031549
1000000,36,0.0029942
1000000,48,0.0036029
1000000,60,0.00344
1000000,90,0.004816
1000000,120,0.0047128
1000000,144,0.0042658
10000000,1,0.0539972
10000000,2,0.0544131
10000000,3,0.0456683
10000000,4,0.0308415
10000000,5,0.0263888
10000000,6,0.0219631
10000000,7,0.0246878
10000000,8,0.0237313
10000000,9,0.0226297
10000000,10,0.023085
10000000,11,0.0221423
10000000,12,0.0212681
10000000,13,0.0228043
10000000,14,0.0228912
10000000,15,0.0247729
10000000,16,0.0260229
10000000,17,0.0245276
10000000,18,0.0227399
10000000,24,0.022693
10000000,30,0.0233913
10000000,36,0.0224475
10000000,48,0.0222738
10000000,60,0.0225905
10000000,90,0.0240243
10000000,120,0.0240026
10000000,144,0.0237108
100000000,1,0.538357
100000000,2,0.350874
100000000,3,0.280752
100000000,4,0.265286
100000000,5,0.279467
100000000,6,0.241034
100000000,7,0.235862
100000000,8,0.232288
100000000,9,0.276856
100000000,10,0.219844
100000000,11,0.219857
100000000,12,0.212117
100000000,13,0.243559
100000000,14,0.234783
100000000,15,0.222446
100000000,16,0.219978
100000000,17,0.219611
100000000,18,0.251027
100000000,24,0.210177
100000000,30,0.216549
100000000,36,0.215693
100000000,48,0.239104
100000000,60,0.224422
100000000,90,0.212769
100000000,120,0.212399
100000000,144,0.218203
1000000000,1,5.57269
1000000000,2,3.66523
1000000000,3,2.98922
1000000000,4,2.76835
1000000000,5,2.60744
1000000000,6,2.61422
1000000000,7,2.45159
1000000000,8,2.38713
1000000000,9,2.36561
1000000000,10,2.32008
1000000000,11,2.2486
1000000000,12,2.27281
1000000000,13,2.32164
1000000000,14,2.29439
1000000000,15,2.3288
1000000000,16,2.35216
1000000000,17,2.28584
1000000000,18,2.38091
1000000000,24,2.37442
1000000000,30,2.53497
1000000000,36,2.34073
1000000000,48,2.31317
1000000000,60,2.33758
1000000000,90,2.30628
1000000000,120,2.275
1000000000,144,2.25434
