MatrixRows,MatrixCols,NumThreads,ExecutionTime
100,100,1,0.0004843
100,100,2,0.0003388
100,100,3,0.0002753
100,100,4,0.0002392
100,100,5,0.0002219
100,100,6,0.000216
100,100,7,0.0002441
100,100,8,0.0003986
100,100,9,0.0002306
100,100,10,0.0002801
100,100,11,0.0003113
100,100,12,0.0002423
100,100,13,0.0003271
100,100,14,0.0002773
100,100,15,0.0002275
100,100,16,0.0002372
100,100,17,0.0002525
100,100,18,0.0002595
100,100,24,0.0011981
100,100,30,0.0006234
100,100,36,0.0004997
100,100,48,0.0020471
100,100,60,0.0007875
100,100,90,0.001883
100,100,120,0.0024877
100,100,144,0.0028478
500,500,1,0.0027252
500,500,2,0.0059758
500,500,3,0.0020323
500,500,4,0.001859
500,500,5,0.0016252
500,500,6,0.0017623
500,500,7,0.0016314
500,500,8,0.0017958
500,500,9,0.0016741
500,500,10,0.0021589
500,500,11,0.001825
500,500,12,0.0015701
500,500,13,0.001601
500,500,14,0.0019392
500,500,15,0.0017885
500,500,16,0.0019227
500,500,17,0.0017471
500,500,18,0.0022266
500,500,24,0.0043801
500,500,30,0.0026601
500,500,36,0.0015794
500,500,48,0.0018596
500,500,60,0.0024434
500,500,90,0.0062974
500,500,120,0.0038677
500,500,144,0.0030484
1000,1000,1,0.0077501
1000,1000,2,0.0084988
1000,1000,3,0.0062982
1000,1000,4,0.0063769
1000,1000,5,0.005591
1000,1000,6,0.0042857
1000,1000,7,0.005238
1000,1000,8,0.006951
1000,1000,9,0.0054082
1000,1000,10,0.0056885
1000,1000,11,0.0055128
1000,1000,12,0.0041823
1000,1000,13,0.0034741
1000,1000,14,0.0034052
1000,1000,15,0.00382
1000,1000,16,0.0053784
1000,1000,17,0.0039207
1000,1000,18,0.0038278
1000,1000,24,0.004136
1000,1000,30,0.0040196
1000,1000,36,0.0051367
1000,1000,48,0.0059903
1000,1000,60,0.0065187
1000,1000,90,0.0085986
1000,1000,120,0.0070792
1000,1000,144,0.0075957
2000,2000,1,0.0399991
2000,2000,2,0.0278268
2000,2000,3,0.0217974
2000,2000,4,0.0181359
2000,2000,5,0.0162276
2000,2000,6,0.0149191
2000,2000,7,0.0145328
2000,2000,8,0.0168964
2000,2000,9,0.0162972
2000,2000,10,0.016662
2000,2000,11,0.0192181
2000,2000,12,0.0181239
2000,2000,13,0.0187461
2000,2000,14,0.0187945
2000,2000,15,0.0189343
2000,2000,16,0.0156721
2000,2000,17,0.0169728
2000,2000,18,0.0162449
2000,2000,24,0.0154775
2000,2000,30,0.0166037
2000,2000,36,0.0172204
2000,2000,48,0.0171573
2000,2000,60,0.0162972
2000,2000,90,0.0163776
2000,2000,120,0.0166499
2000,2000,144,0.0160813
100000,10,1,0.0319769
100000,10,2,0.0293529
100000,10,3,0.0266801
100000,10,4,0.0230504
100000,10,5,0.0286271
100000,10,6,0.0254472
100000,10,7,0.0212861
100000,10,8,0.0211007
100000,10,9,0.0201712
100000,10,10,0.0250269
100000,10,11,0.0269229
100000,10,12,0.0246212
100000,10,13,0.0282994
100000,10,14,0.0241714
100000,10,15,0.0252258
100000,10,16,0.0253614
100000,10,17,0.0309677
100000,10,18,0.0245613
100000,10,24,0.0234084
100000,10,30,0.0212327
100000,10,36,0.0295366
100000,10,48,0.0326851
100000,10,60,0.0332767
100000,10,90,0.0370132
100000,10,120,0.0360205
100000,10,144,0.0235641
10000,100,1,0.0143179
10000,100,2,0.0131162
10000,100,3,0.0081143
10000,100,4,0.0107892
10000,100,5,0.0090524
10000,100,6,0.0074703
10000,100,7,0.0087536
10000,100,8,0.008278
10000,100,9,0.007275
10000,100,10,0.0081066
10000,100,11,0.0084399
10000,100,12,0.0079713
10000,100,13,0.0064813
10000,100,14,0.0067431
10000,100,15,0.0074846
10000,100,16,0.0059556
10000,100,17,0.0068382
10000,100,18,0.005997
10000,100,24,0.0062378
10000,100,30,0.008619
10000,100,36,0.006973
10000,100,48,0.0076302
10000,100,60,0.0071021
10000,100,90,0.0100609
10000,100,120,0.0086455
10000,100,144,0.0087682
10,100000,1,0.0064103
10,100000,2,0.0069236
10,100000,3,0.0046831
10,100000,4,0.0041597
10,100000,5,0.0035185
10,100000,6,0.0039378
10,100000,7,0.0043771
10,100000,8,0.004245
10,100000,9,0.0037289
10,100000,10,0.0037646
10,100000,11,0.0039999
10,100000,12,0.0040431
10,100000,13,0.0032988
10,100000,14,0.0035649
10,100000,15,0.0040136
10,100000,16,0.0036558
10,100000,17,0.0033893
10,100000,18,0.0031986
10,100000,24,0.0038707
10,100000,30,0.0044008
10,100000,36,0.0037152
10,100000,48,0.0039394
10,100000,60,0.0041635
10,100000,90,0.0058016
10,100000,120,0.0051002
10,100000,144,0.0050745
100,10000,1,0.006489
100,10000,2,0.0069914
100,10000,3,0.0052677
100,10000,4,0.0038994
100,10000,5,0.0041684
100,10000,6,0.0038274
100,10000,7,0.0030409
100,10000,8,0.0029504
100,10000,9,0.0027276
100,10000,10,0.0031613
100,10000,11,0.0028326
100,10000,12,0.0027607
100,10000,13,0.0036128
100,10000,14,0.0032319
100,10000,15,0.0032744
100,10000,16,0.0031141
100,10000,17,0.0029678
100,10000,18,0.0027678
100,10000,24,0.0031845
100,10000,30,0.0033072
100,10000,36,0.0032615
100,10000,48,0.003294
100,10000,60,0.003736
100,10000,90,0.0049358
100,10000,120,0.0049857
100,10000,144,0.0042668
