MatrixRows,MatrixCols,NumThreads,ExecutionTime,ExecutionTimeTriangularStatic,ExecutionTimeTriangularDynamic,ExecutionTimeTriangularGuided
100,100,1,0.0001038,4.98e-05,5.15e-05,5.85e-05
100,100,2,0.0001955,6.72e-05,6.73e-05,6.77e-05
100,100,3,0.0001783,8.95e-05,8.03e-05,8.53e-05
100,100,4,0.0001873,8.09e-05,8.96e-05,7.56e-05
100,100,5,0.0001721,8.25e-05,8.81e-05,7.4e-05
100,100,6,0.0001649,0.0001024,9.84e-05,8.67e-05
100,100,7,0.0001612,7.86e-05,8.14e-05,9.26e-05
100,100,8,0.0001832,8.75e-05,9.27e-05,8.94e-05
100,100,9,0.0001763,8.66e-05,9.14e-05,9.68e-05
100,100,10,0.0001775,9.16e-05,8.81e-05,8.66e-05
100,100,11,0.0001831,0.0001024,0.0001016,0.0001043
100,100,12,0.0002005,0.0001011,9.08e-05,0.0001679
100,100,13,0.0001852,9.29e-05,0.0001076,0.0001089
100,100,14,0.0001914,0.000108,0.0001049,9.7e-05
100,100,15,0.0002117,0.0001117,0.0001062,0.0001097
100,100,16,0.0001973,9.79e-05,0.0001084,0.0001066
100,100,17,0.000209,0.0001064,0.0001097,0.0001039
100,100,18,0.0001868,0.0001181,0.0001101,0.0001251
100,100,24,0.0004037,0.0001594,0.0001298,0.000142
100,100,30,0.0003989,0.0001722,0.0001724,0.0001837
100,100,36,0.0004361,0.0004083,0.0001915,0.0001856
100,100,48,0.0008264,0.0001912,0.0002433,0.0003193
100,100,60,0.0009963,0.000221,0.0002089,0.0002352
100,100,90,0.00252,0.0003509,0.000362,0.0004717
100,100,120,0.0028961,0.0004326,0.0003879,0.0004294
100,100,144,0.0016144,0.0004907,0.0004192,0.0004388
500,500,1,0.0021292,0.0021112,0.0021906,0.001488
500,500,2,0.0082701,0.0020112,0.0012191,0.00189
500,500,3,0.0015968,0.0022001,0.0016857,0.0020965
500,500,4,0.0024215,0.0020577,0.002185,0.0020252
500,500,5,0.0023656,0.0012949,0.0010611,0.00177
500,500,6,0.0023101,0.0018898,0.0023993,0.00195
500,500,7,0.003605,0.001884,0.0019758,0.0018739
500,500,8,0.0017841,0.0009503,0.0025391,0.0007841
500,500,9,0.0021464,0.0017911,0.0015022,0.0015239
500,500,10,0.0022592,0.001797,0.0015526,0.0015754
500,500,11,0.0018427,0.0020798,0.0022244,0.000929
500,500,12,0.0028706,0.0043064,0.0024566,0.0028285
500,500,13,0.0024615,0.0021616,0.001883,0.0011938
500,500,14,0.0021894,0.0020052,0.0023006,0.0024122
500,500,15,0.0031881,0.0013183,0.0019944,0.0019677
500,500,16,0.003546,0.0016705,0.0013819,0.0017749
500,500,17,0.0019745,0.0018719,0.0017967,0.0013883
500,500,18,0.0016873,0.0022002,0.0022856,0.0013037
500,500,24,0.0026301,0.0016483,0.0014953,0.0016107
500,500,30,0.0041981,0.0040885,0.0047478,0.0019615
500,500,36,0.0035318,0.0017484,0.0016587,0.0020035
500,500,48,0.0022145,0.0021081,0.0025375,0.0019428
500,500,60,0.0108421,0.0017093,0.0020743,0.0015282
500,500,90,0.0046055,0.0026057,0.0021417,0.0021334
500,500,120,0.0042729,0.0039529,0.0024142,0.002493
500,500,144,0.0034911,0.0020715,0.0019565,0.0021197
1000,1000,1,0.0104872,0.0038678,0.0039638,0.0070222
1000,1000,2,0.006202,0.0058356,0.0049806,0.0041985
1000,1000,3,0.0047525,0.002998,0.0026075,0.0026831
1000,1000,4,0.0029137,0.005778,0.0054506,0.0033188
1000,1000,5,0.0052808,0.0029994,0.0024516,0.002645
1000,1000,6,0.0028898,0.0046638,0.0045534,0.002429
1000,1000,7,0.0045404,0.0044059,0.0034733,0.0042158
1000,1000,8,0.005287,0.005289,0.0036321,0.0050386
1000,1000,9,0.0057418,0.0046012,0.0050574,0.0043783
1000,1000,10,0.0102235,0.0076192,0.0058087,0.0053752
1000,1000,11,0.0118923,0.0061686,0.0077652,0.0087896
1000,1000,12,0.0109194,0.01746,0.0049466,0.0218438
1000,1000,13,0.0110285,0.0091021,0.0088065,0.0091632
1000,1000,14,0.0078606,0.0085257,0.0050396,0.0089418
1000,1000,15,0.0111237,0.0054157,0.006238,0.0060504
1000,1000,16,0.0110521,0.0100015,0.0061346,0.0060023
1000,1000,17,0.0033193,0.0060601,0.0057363,0.0046231
1000,1000,18,0.0069021,0.0068319,0.0058957,0.0045662
1000,1000,24,0.0107259,0.0324159,0.023095,0.0064154
1000,1000,30,0.0237191,0.008869,0.0058788,0.0071977
1000,1000,36,0.0082354,0.0071768,0.0074007,0.0053943
1000,1000,48,0.0085705,0.00875,0.0056811,0.0054187
1000,1000,60,0.0094035,0.005846,0.0080475,0.0059234
1000,1000,90,0.0153231,0.0062979,0.0049262,0.0057524
1000,1000,120,0.0095076,0.0059543,0.007005,0.0058721
1000,1000,144,0.0087014,0.0053329,0.0059145,0.0073621
5000,5000,1,0.221141,0.189374,0.197924,0.176083
5000,5000,2,0.185612,0.133362,0.124539,0.134161
5000,5000,3,0.150322,0.131554,0.114844,0.113352
5000,5000,4,0.132323,0.110433,0.111785,0.108277
5000,5000,5,0.159687,0.116501,0.107532,0.111786
5000,5000,6,0.125148,0.147713,0.109782,0.133986
5000,5000,7,0.105461,0.111987,0.103301,0.130959
5000,5000,8,0.130021,0.114708,0.114568,0.118138
5000,5000,9,0.138424,0.125169,0.103057,0.0942134
5000,5000,10,0.123969,0.116655,0.110942,0.108909
5000,5000,11,0.125636,0.0948123,0.116904,0.101142
5000,5000,12,0.131686,0.120785,0.108171,0.117351
5000,5000,13,0.132312,0.113425,0.0923091,0.128919
5000,5000,14,0.128281,0.10551,0.105565,0.100689
5000,5000,15,0.127828,0.127255,0.119073,0.109796
5000,5000,16,0.112374,0.112673,0.103939,0.12611
5000,5000,17,0.134503,0.117907,0.116087,0.121718
5000,5000,18,0.131171,0.118545,0.117566,0.112326
5000,5000,24,0.126561,0.0997594,0.106568,0.111598
5000,5000,30,0.130675,0.100946,0.108175,0.100701
5000,5000,36,0.114167,0.107125,0.102996,0.105963
5000,5000,48,0.125219,0.0986083,0.0912554,0.110535
5000,5000,60,0.0946122,0.12171,0.118704,0.121376
5000,5000,90,0.123958,0.130314,0.109832,0.105876
5000,5000,120,0.123039,0.0962561,0.106392,0.0858405
5000,5000,144,0.126151,0.105756,0.110471,0.113018
10000,10000,1,0.720851,0.56217,0.513479,0.542492
10000,10000,2,0.593003,0.586591,0.458594,0.459569
10000,10000,3,0.584076,0.510249,0.411492,0.413369
10000,10000,4,0.522471,0.440145,0.45972,0.4131
10000,10000,5,0.492672,0.427562,0.41945,0.429587
10000,10000,6,0.474899,0.521493,0.428787,0.438885
10000,10000,7,0.495065,0.486194,0.526957,0.393726
10000,10000,8,0.504721,0.409178,0.410315,0.509648
10000,10000,9,0.475879,0.408878,0.405843,0.430563
10000,10000,10,0.599559,0.425836,0.413678,0.386329
10000,10000,11,0.544732,0.495494,0.435786,0.420706
10000,10000,12,0.519761,0.681159,0.460624,0.496668
10000,10000,13,0.579463,0.644268,0.64762,0.542382
10000,10000,14,0.514185,0.475874,0.438478,0.432588
10000,10000,15,0.46623,0.439537,0.35333,0.435462
10000,10000,16,0.45742,0.445181,0.428696,0.396076
10000,10000,17,0.512877,0.360389,0.420201,0.499629
10000,10000,18,0.475107,0.477632,0.459318,0.457378
10000,10000,24,0.440161,0.495032,0.384284,0.451812
10000,10000,30,0.493284,0.503965,0.725212,0.430596
10000,10000,36,0.716835,0.446812,0.393852,0.535871
10000,10000,48,0.464833,0.42828,0.424661,0.403178
10000,10000,60,0.512814,0.459955,0.420159,0.433549
10000,10000,90,0.45878,0.508269,0.451116,0.457243
10000,10000,120,0.500294,0.516401,0.54337,0.475628
10000,10000,144,0.552523,0.444945,0.42321,0.487224
