ArrayLength,NumThreads,MaxReductionTime,MaxNoReductionTime,MaxLock,MaxCritical
1000000,1,0.0038919,0.0023595,0.0025608,0.0026395
1000000,2,0.0019868,0.0014585,0.0012778,0.0011376
1000000,3,0.0014935,0.0011247,0.0011764,0.0013632
1000000,4,0.0012713,0.001136,0.0010991,0.0010656
1000000,5,0.0009832,0.000872,0.0008514,0.0009037
1000000,6,0.0009005,0.0007535,0.0007516,0.0007465
1000000,7,0.0011018,0.0011581,0.0010328,0.0008385
1000000,8,0.0013194,0.0009454,0.000971,0.0009429
1000000,9,0.0009223,0.0008867,0.0009277,0.0008487
1000000,10,0.0009174,0.0006429,0.0008111,0.0009013
1000000,11,0.0009165,0.0008473,0.0007754,0.0007557
1000000,12,0.00089,0.001178,0.0009912,0.0009551
1000000,13,0.0009329,0.0009074,0.0009186,0.0008726
1000000,14,0.0009094,0.0008698,0.0009079,0.000905
1000000,15,0.0008501,0.0008828,0.0010447,0.00088
1000000,16,0.0006973,0.0006608,0.0006348,0.0006132
1000000,17,0.0006212,0.0005424,0.0006011,0.0005915
1000000,18,0.0006022,0.0006195,0.0007054,0.0006665
1000000,24,0.0006473,0.000733,0.0005957,0.000637
1000000,30,0.0007352,0.0007699,0.0007538,0.0008392
1000000,36,0.0006821,0.0007021,0.0007777,0.0007843
1000000,48,0.0009452,0.001215,0.0010153,0.0013019
1000000,60,0.00135,0.0012457,0.0013883,0.001318
1000000,90,0.0019429,0.0016196,0.0015113,0.0015254
1000000,120,0.0026457,0.0019615,0.0019111,0.0017461
1000000,144,0.0020418,0.0021738,0.0021285,0.0021449
10000000,1,0.0314125,0.0324875,0.0288332,0.0269472
10000000,2,0.0176411,0.0173329,0.0133364,0.0123086
10000000,3,0.0076031,0.0087433,0.0072947,0.009802
10000000,4,0.0096095,0.0087355,0.0081334,0.0086025
10000000,5,0.0081973,0.0079162,0.0076316,0.0067774
10000000,6,0.006698,0.0068446,0.0085246,0.0069164
10000000,7,0.0057658,0.0098832,0.0066978,0.0097362
10000000,8,0.0103881,0.0075329,0.0060522,0.0094079
10000000,9,0.0079933,0.0072546,0.0088787,0.007068
10000000,10,0.0069298,0.0083689,0.00731,0.007166
10000000,11,0.0082345,0.006314,0.0059265,0.0084289
10000000,12,0.0063379,0.0064905,0.0071934,0.0064218
10000000,13,0.0059097,0.0072079,0.006561,0.0056057
10000000,14,0.0060961,0.0073954,0.0058571,0.0059448
10000000,15,0.007339,0.0071319,0.0065986,0.0069265
10000000,16,0.0064358,0.006502,0.0068497,0.0062177
10000000,17,0.0065079,0.0063356,0.0076447,0.005783
10000000,18,0.0058598,0.0062026,0.0060462,0.0059025
10000000,24,0.0060088,0.0062051,0.0068697,0.0063614
10000000,30,0.0056992,0.0062037,0.0058137,0.0064425
10000000,36,0.0059829,0.0058814,0.0060423,0.0061118
10000000,48,0.0068156,0.0070644,0.0070795,0.0064107
10000000,60,0.0062574,0.0063912,0.0059736,0.0060619
10000000,90,0.006441,0.0061862,0.006449,0.0063908
10000000,120,0.0074201,0.0064374,0.0067027,0.0068329
10000000,144,0.0069865,0.0066017,0.0062473,0.0055051
1000000000,1,2.43363,2.42246,2.62171,2.3672
1000000000,2,1.33824,1.29207,1.34908,1.30572
1000000000,3,1.0033,0.990797,0.99918,1.02212
1000000000,4,0.791901,0.842724,0.796259,0.799084
1000000000,5,0.678733,0.678567,0.670435,0.686809
1000000000,6,0.654702,0.661203,0.587574,0.602211
1000000000,7,0.533287,0.561035,0.560061,0.55817
1000000000,8,0.529025,0.569401,0.537758,0.561553
1000000000,9,0.560952,0.576431,0.625637,0.595995
1000000000,10,0.578629,0.616092,0.560447,0.590091
1000000000,11,0.655095,0.568304,0.560155,0.678745
1000000000,12,0.422055,0.72058,0.646383,0.540689
1000000000,13,0.743866,0.695202,0.739234,0.632035
1000000000,14,0.656424,0.587181,0.679608,0.612841
1000000000,15,0.588049,0.608925,0.597176,0.592956
1000000000,16,0.507439,0.509428,0.74918,0.608914
1000000000,17,0.80413,0.811555,0.538149,0.783883
1000000000,18,0.769325,0.676615,0.858223,0.667668
1000000000,24,0.672874,0.719384,0.617449,0.426713
1000000000,30,0.397528,0.352527,0.610838,0.629218
1000000000,36,0.72265,0.581621,0.595994,0.531648
1000000000,48,0.507274,0.548005,0.496513,0.462726
1000000000,60,0.531434,0.583464,0.542924,0.389491
1000000000,90,0.659394,0.477156,0.5002,0.567352
1000000000,120,0.549318,0.642277,0.61515,0.559359
1000000000,144,0.563452,0.494422,0.472473,0.504608
