VecLength,VecsNum,NumThreads,ExecutionTime
100,100,1,0.00070809
100,100,2,0.00073199
100,100,3,0.00093988
100,100,4,0.00078744
100,100,5,0.00063618
100,100,6,0.00070412
100,100,7,0.00060046
100,100,8,0.00057199
100,100,9,0.00062679
100,100,10,0.00065182
100,100,11,0.00062508
100,100,12,0.00080622
100,100,13,0.0013167
100,100,14,0.00060584
100,100,15,0.00049454
100,100,16,0.00051186
100,100,17,0.00063188
100,100,18,0.00049735
100,100,24,0.00050303
100,100,30,0.00055266
100,100,36,0.00054628
100,100,48,0.00062054
100,100,60,0.00065233
100,100,90,0.00079308
100,100,120,0.00090681
100,100,144,0.00096337
100,500,1,0.00276103
100,500,2,0.00260408
100,500,3,0.00209966
100,500,4,0.00206561
100,500,5,0.00216064
100,500,6,0.00225844
100,500,7,0.00218144
100,500,8,0.0026493
100,500,9,0.00254588
100,500,10,0.00236269
100,500,11,0.00190704
100,500,12,0.00189212
100,500,13,0.0018044
100,500,14,0.00212227
100,500,15,0.00200958
100,500,16,0.00183166
100,500,17,0.00208628
100,500,18,0.00186765
100,500,24,0.00210542
100,500,30,0.00214289
100,500,36,0.00220669
100,500,48,0.00230081
100,500,60,0.00266981
100,500,90,0.00349337
100,500,120,0.00224435
100,500,144,0.00242401
100,1000,1,0.0048875
100,1000,2,0.00386771
100,1000,3,0.00354025
100,1000,4,0.0040468
100,1000,5,0.00395916
100,1000,6,0.00386096
100,1000,7,0.00396895
100,1000,8,0.00336232
100,1000,9,0.00362984
100,1000,10,0.00318661
100,1000,11,0.00344287
100,1000,12,0.00354967
100,1000,13,0.00376988
100,1000,14,0.00397246
100,1000,15,0.00380545
100,1000,16,0.0036498
100,1000,17,0.00369837
100,1000,18,0.00390916
100,1000,24,0.0039474
100,1000,30,0.00380248
100,1000,36,0.00369538
100,1000,48,0.00378432
100,1000,60,0.00433477
100,1000,90,0.00518082
100,1000,120,0.0051209
100,1000,144,0.00518674
100,10000,1,0.0482569
100,10000,2,0.0478641
100,10000,3,0.047243
100,10000,4,0.0472982
100,10000,5,0.0424863
100,10000,6,0.0459617
100,10000,7,0.0498066
100,10000,8,0.050491
100,10000,9,0.118135
100,10000,10,0.0458662
100,10000,11,0.0419223
100,10000,12,0.0425239
100,10000,13,0.0409021
100,10000,14,0.0410037
100,10000,15,0.0408912
100,10000,16,0.0437552
100,10000,17,0.0387215
100,10000,18,0.0379688
100,10000,24,0.0399741
100,10000,30,0.0396559
100,10000,36,0.0399192
100,10000,48,0.0490027
100,10000,60,0.08278
100,10000,90,0.0595643
100,10000,120,0.0608973
100,10000,144,0.0521507
500,100,1,0.00491025
500,100,2,0.00407034
500,100,3,0.00673084
500,100,4,0.00523443
500,100,5,0.009229
500,100,6,0.00665469
500,100,7,0.00814518
500,100,8,0.00924281
500,100,9,0.0081032
500,100,10,0.0115969
500,100,11,0.00991365
500,100,12,0.00996952
500,100,13,0.00941127
500,100,14,0.00942998
500,100,15,0.00891021
500,100,16,0.0137043
500,100,17,0.00998976
500,100,18,0.0133706
500,100,24,0.00589253
500,100,30,0.00583642
500,100,36,0.00799229
500,100,48,0.00597439
500,100,60,0.00615144
500,100,90,0.00762616
500,100,120,0.0105281
500,100,144,0.012956
500,500,1,0.0177921
500,500,2,0.0129435
500,500,3,0.0138192
500,500,4,0.0149657
500,500,5,0.0166449
500,500,6,0.0146598
500,500,7,0.0153412
500,500,8,0.0175914
500,500,9,0.0149686
500,500,10,0.0143719
500,500,11,0.0142131
500,500,12,0.0142486
500,500,13,0.0149701
500,500,14,0.0136968
500,500,15,0.013328
500,500,16,0.0127876
500,500,17,0.0139175
500,500,18,0.0139099
500,500,24,0.0112983
500,500,30,0.0120194
500,500,36,0.0123062
500,500,48,0.0151636
500,500,60,0.0148766
500,500,90,0.0146106
500,500,120,0.0144378
500,500,144,0.0150315
500,1000,1,0.0326873
500,1000,2,0.0279654
500,1000,3,0.0254304
500,1000,4,0.0253144
500,1000,5,0.0251678
500,1000,6,0.0254817
500,1000,7,0.0220815
500,1000,8,0.0269551
500,1000,9,0.0271832
500,1000,10,0.0259807
500,1000,11,0.0264914
500,1000,12,0.0248811
500,1000,13,0.0250971
500,1000,14,0.0221961
500,1000,15,0.0218753
500,1000,16,0.0235112
500,1000,17,0.0215526
500,1000,18,0.0193
500,1000,24,0.0192957
500,1000,30,0.020853
500,1000,36,0.0212153
500,1000,48,0.0228486
500,1000,60,0.0220936
500,1000,90,0.020127
500,1000,120,0.0201035
500,1000,144,0.0203929
500,10000,1,0.267408
500,10000,2,0.210585
500,10000,3,0.226761
500,10000,4,0.225564
500,10000,5,0.242602
500,10000,6,0.243533
500,10000,7,0.264763
500,10000,8,0.235309
500,10000,9,0.222836
500,10000,10,0.241507
500,10000,11,0.249343
500,10000,12,0.222293
500,10000,13,0.205897
500,10000,14,0.237647
500,10000,15,0.255545
500,10000,16,0.229512
500,10000,17,0.212411
