MatrixRows,MatrixCols,NumThreads,ExecutionTime,ExecutionTimeHighlyParallel
100,100,1,0.0001652,0.0011431
100,100,2,0.0003384,0.0154979
100,100,3,0.000269,0.0237231
100,100,4,0.0002475,0.029893
100,100,5,0.0014296,0.0382234
100,100,6,0.0002345,0.0342086
100,100,7,0.0002402,0.040026
100,100,8,0.00022,0.0418145
100,100,9,0.0002284,0.0535167
100,100,10,0.000222,0.0644768
100,100,11,0.0002468,0.0732284
100,100,12,0.0002506,0.075205
100,100,13,0.0002745,0.109357
100,100,14,0.000351,0.110093
100,100,15,0.0003305,0.093981
100,100,16,0.000235,0.0981614
100,100,17,0.0002194,0.101938
100,100,18,0.0003493,0.122856
100,100,24,0.001132,0.172788
100,100,30,0.0005024,0.221001
100,100,36,0.0007805,0.260282
100,100,48,0.0011793,0.327915
100,100,60,0.0030108,0.437254
100,100,90,0.0104673,0.725405
100,100,120,0.0129701,1.5384
100,100,144,0.0369113,2.99374
500,500,1,0.0999952,0.0076335
500,500,2,0.0030633,0.0502276
500,500,3,0.0024294,0.0669308
500,500,4,0.0010195,0.0903152
500,500,5,0.0010415,0.117286
500,500,6,0.0011677,0.160175
500,500,7,0.0008975,0.171668
500,500,8,0.0009653,0.196283
500,500,9,0.0013318,0.236643
500,500,10,0.0014363,0.261898
500,500,11,0.0011118,0.306502
500,500,12,0.0010845,0.333358
500,500,13,0.001047,0.353157
500,500,14,0.0010223,0.40453
500,500,15,0.0011959,0.434114
500,500,16,0.0009382,0.503342
500,500,17,0.0017971,0.568259
500,500,18,0.0012397,0.524037
500,500,24,0.0010756,0.72274
500,500,30,0.0013077,0.941354
500,500,36,0.0014449,1.15169
500,500,48,0.0015993,1.55261
500,500,60,0.0042677,2.14621
500,500,90,0.0025299,3.44804
500,500,120,0.0058671,5.92692
500,500,144,0.025081,7.72142
10000,10,1,0.003921,0.0872928
10000,10,2,0.0065413,0.916667
10000,10,3,0.0020613,1.27292
10000,10,4,0.003905,1.8984
10000,10,5,0.0020443,2.53574
10000,10,6,0.0019667,2.87645
10000,10,7,0.0020563,3.54971
10000,10,8,0.0026733,4.01449
10000,10,9,0.0020201,4.98651
10000,10,10,0.0028785,5.53643
10000,10,11,0.0028663,6.19898
10000,10,12,0.00302,6.99537
10000,10,13,0.0019072,7.57566
10000,10,14,0.002823,7.9742
10000,10,15,0.0032725,9.14596
10000,10,16,0.0040477,10.2015
10000,10,17,0.0027608,10.7358
10000,10,18,0.0030909,10.8241
10000,10,24,0.0028822,14.9248
10000,10,30,0.0032034,19.7445
10000,10,36,0.0025799,23.5594
10000,10,48,0.0024737,33.6654
10000,10,60,0.0051373,43.3073
10000,10,90,0.004433,72.6549
10000,10,120,0.0046867,109.073
10000,10,144,0.0040443,157.235
1000,100,1,0.0007129,0.0072724
1000,100,2,0.0024016,0.0909668
1000,100,3,0.0006178,0.131422
1000,100,4,0.0012567,0.184387
1000,100,5,0.0005076,0.233549
1000,100,6,0.0006175,0.284358
1000,100,7,0.0004921,0.342926
1000,100,8,0.000497,0.404598
1000,100,9,0.0008293,0.45464
1000,100,10,0.0005364,0.547399
1000,100,11,0.0007522,0.583822
1000,100,12,0.0007435,0.657358
1000,100,13,0.0005243,0.696855
1000,100,14,0.0006848,0.771679
1000,100,15,0.0006524,0.849541
1000,100,16,0.0005936,0.8949
1000,100,17,0.0006262,0.989451
1000,100,18,0.0005802,1.11304
1000,100,24,0.0009293,1.43135
1000,100,30,0.0009218,1.85524
1000,100,36,0.000924,2.27979
1000,100,48,0.0015138,3.11204
1000,100,60,0.0021942,4.15144
1000,100,90,0.0030029,6.83077
1000,100,120,0.0037647,11.4784
1000,100,144,0.0031236,16.2752
10,10000,1,0.0006139,0.0008804
10,10000,2,0.0080707,0.499579
10,10000,3,0.0006297,0.0014059
10,10000,4,0.000374,0.0019269
10,10000,5,0.0004835,0.0022884
10,10000,6,0.0004001,0.0039892
10,10000,7,0.0004756,0.0035476
10,10000,8,0.000538,0.0043619
10,10000,9,0.0006155,0.0056315
10,10000,10,0.0003936,0.0064378
10,10000,11,0.0010326,0.0115082
10,10000,12,0.000624,0.0085491
10,10000,13,0.0008217,0.0070795
10,10000,14,0.0007867,0.0080488
10,10000,15,0.0015279,0.0095624
10,10000,16,0.0005972,0.0094269
10,10000,17,0.0007478,0.0131158
10,10000,18,0.0006521,0.0121703
10,10000,24,0.0005431,0.0151841
10,10000,30,0.0007896,0.0196881
10,10000,36,0.0015991,0.0254815
10,10000,48,0.0031495,0.0279224
10,10000,60,0.0146177,0.0430477
10,10000,90,0.0021438,0.0610716
10,10000,120,0.0176193,0.07905
10,10000,144,0.0963752,0.197396
100,1000,1,0.0004985,0.0010679
100,1000,2,0.0007964,0.0136177
100,1000,3,0.0003912,0.0133711
100,1000,4,0.0003993,0.0174292
100,1000,5,0.0003554,0.0218274
100,1000,6,0.0003683,0.0273391
100,1000,7,0.0003434,0.0327202
100,1000,8,0.0003902,0.038337
100,1000,9,0.0004134,0.0449921
100,1000,10,0.0004694,0.0493877
100,1000,11,0.0006811,0.0560483
100,1000,12,0.0005265,0.0661669
100,1000,13,0.0008164,0.0747654
100,1000,14,0.0004117,0.0819272
100,1000,15,0.0007726,0.0865364
100,1000,16,0.0004021,0.0938904
100,1000,17,0.0005438,0.111083
100,1000,18,0.0005511,0.102571
100,1000,24,0.0021986,0.137491
100,1000,30,0.0007626,0.183753
100,1000,36,0.001033,0.224188
100,1000,48,0.0021495,0.353486
100,1000,60,0.0011729,0.427456
100,1000,90,0.0061272,0.762059
100,1000,120,0.0161072,1.64651
100,1000,144,0.273194,2.3728
